iso3,year,specimen,origin,numsampledpatients,pathogen,antibiotic,antibiotic.label2,tot,unk,res,ast,p.unk,f.res
ARG,2017,BLOOD,UNK,13788,KLEPNE,CTX,Cefotaxime,1199,380,453,819,31.69,5939.95
ARG,2017,STOOL,UNK,4518,SHISPP,AZM,Azithromycin,2560,1778,19,782,69.45,17308.54
ARG,2017,URINE,UNK,53619,ESCCOL,CRO,Ceftriaxone,35521,28550,576,6971,80.37,13000.99
ARG,2018,BLOOD,UNK,15123,KLEPNE,CAZ,Ceftazidime,1419,99,743,1320,6.98,8728.43
ARG,2018,STOOL,UNK,4802,SHISPP,CTX,Cefotaxime,2914,2041,14,873,70.04,18179.93
ARG,2018,URINE,UNK,58215,KLEPNE,J01DD,Third-generation cephalosporins,4865,891,1956,3974,18.31,6826.42
BHR,2019,BLOOD,CO,5433,ACISPP,GEN,Gentamicin,19,0,4,19,0,349.71
BHR,2019,BLOOD,CO,5433,ACISPP,J01DH,Carbapenems,19,0,4,19,0,349.71
BHR,2019,BLOOD,CO,5433,ACISPP,MEM,Meropenem,19,0,4,19,0,349.71
BHR,2019,BLOOD,CO,5433,ACISPP,AMK,Amikacin,19,0,3,19,0,349.71
BHR,2019,BLOOD,CO,5433,ACISPP,IPM,Imipenem,19,0,4,19,0,349.71
BHR,2019,BLOOD,CO,5433,ESCCOL,FEP,Cefepime,54,0,21,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,J01DD,Third-generation cephalosporins,54,0,21,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,J01DH,Carbapenems,54,0,0,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,FEP,Cefepime,76,0,38,76,0,1398.86
BHR,2019,BLOOD,CO,5433,ESCCOL,CRO,Ceftriaxone,54,0,21,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,CIP,Ciprofloxacin,54,0,12,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,J01MA,Fluoroquinolones,54,0,12,54,0,993.93
BHR,2019,BLOOD,CO,5433,ESCCOL,SXT,Co-trimoxazole,76,0,31,76,0,1398.86
BHR,2019,BLOOD,CO,5433,ESCCOL,CRO,Ceftriaxone,76,0,38,76,0,1398.86
BHR,2019,BLOOD,CO,5433,ESCCOL,MEM,Meropenem,76,0,0,76,0,1398.86
BHR,2019,BLOOD,CO,5433,ESCCOL,J01DD,Third-generation cephalosporins,76,0,38,76,0,1398.86
