whoregion,regioncode,iso3,year,ncc,nfp,nap,nrl,n.hospitals.national.system,n.outpatients.national.system,n.in.outpatients.national.system,n.lab.national.system,eqa.to.nrl,eqa.local.labs,type.ast.standards,hospital.providing.glass,outpatients.providing.glass,in-out.patients,num.labo.reporting.glass,num.pat.year.h,num.pat.year.o
EMR,22,AFG,2017,Not reported,Nominated,No data,Not reported,No data,No data,,No data,Not reported,Not reported,Not reported,No data,No data,No data,No data,No data,No data
EMR,22,AFG,2018,Established,Nominated,Functioning with no budget,Established,1,None,,1,Provided,Not provided,Not reported,1,10,,,,
EMR,22,AFG,2019,Established,Nominated,Functioning with no budget,Established,No data,No data,,1,Provided,Not provided,CLSI,No data,,,1,,
EMR,,AFG,2020,Established,Nominated,"Yes, with budget",Established,Unknown,Unknown,,,Not reported,Provided to all laboratories,CLSI,,,,1,,
AFR,47,AGO,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,AGO,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,AGO,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,AGO,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,Not Enrolled,,
EUR,54,ALB,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ALB,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,ALB,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,ALB,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Unknown,Unknown,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
EUR,54,AND,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,AND,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,AND,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
