iso3,year,specimen,pathogen,antibiotic,path.label,antibiotic.label,tot,ast,sus,int,res,unk,p.sus,p.int,p.res,p.unk
AFG,2018,URINE,ESCCOL,J01MA,E. coli,Fluoroquinolones,68,68,20,0,48,0,29.41,0,70.59,0
AFG,2018,STOOL,SALSPP,CIP,Salmonella spp.,Ciprofloxacin,14,14,12,0,2,0,85.71,0,14.29,0
AFG,2018,STOOL,SALSPP,CRO,Salmonella spp.,Ceftriaxone,14,13,9,0,4,1,69.23,0,30.77,7.14
AFG,2018,STOOL,SALSPP,CTX,Salmonella spp.,Cefotaxime,14,11,8,0,3,3,72.73,0,27.27,21.43
AFG,2018,STOOL,SALSPP,J01DD,Salmonella spp.,Third-generation cephalosporins,14,14,8,0,6,0,57.14,0,42.86,0
AFG,2018,STOOL,SALSPP,J01MA,Salmonella spp.,Fluoroquinolones,14,14,12,0,2,0,85.71,0,14.29,0
AFG,2018,STOOL,SALSPP,LVX,Salmonella spp.,Levofloxacin,14,10,9,0,1,4,90,0,10,28.57
AFG,2018,URINE,ESCCOL,CAZ,E. coli,Ceftazidime,68,34,19,0,15,34,55.88,0,44.12,50
AFG,2018,URINE,ESCCOL,CIP,E. coli,Ciprofloxacin,68,61,17,0,44,7,27.87,0,72.13,10.29
AFG,2018,URINE,ESCCOL,CRO,E. coli,Ceftriaxone,68,63,12,0,51,5,19.05,0,80.95,7.35
AFG,2018,URINE,ESCCOL,CTX,E. coli,Cefotaxime,68,34,7,0,27,34,20.59,0,79.41,50
AFG,2018,URINE,ESCCOL,IPM,E. coli,Imipenem,68,10,10,0,0,58,100,0,0,85.29
AFG,2018,URINE,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,68,66,11,0,55,2,16.67,0,83.33,2.94
AFG,2018,URINE,ESCCOL,J01DH,E. coli,Carbapenems,68,12,12,0,0,56,100,0,0,82.35
AFG,2018,URINE,ESCCOL,LVX,E. coli,Levofloxacin,68,52,15,1,36,16,28.85,1.92,69.23,23.53
AFG,2019,URINE,ESCCOL,CAZ,E. coli,Ceftazidime,28,14,11,0,3,14,78.57,0,21.43,50
AFG,2019,URINE,ESCCOL,CRO,E. coli,Ceftriaxone,28,27,7,1,19,1,25.93,3.7,70.37,3.57
AFG,2019,URINE,ESCCOL,CTX,E. coli,Cefotaxime,28,12,4,0,8,16,33.33,0,66.67,57.14
AFG,2019,URINE,ESCCOL,J01DD,E. coli,Third-generation cephalosporins,28,28,6,1,21,0,21.43,3.57,75,0
AFG,2019,URINE,ESCCOL,SXT,E. coli,Co-trimoxazole,28,16,5,0,11,12,31.25,0,68.75,42.86
ARE,2017,BLOOD,SALSPP,CTX,Salmonella spp.,Cefotaxime,91,59,57,1,1,32,96.61,1.69,1.69,35.16
ARE,2017,BLOOD,ACISPP,AMK,Acinetobacter spp.,Amikacin,75,29,23,0,6,46,79.31,0,20.69,61.33
ARE,2017,BLOOD,ACISPP,COL,Acinetobacter spp.,Colistin,75,24,22,0,2,51,91.67,0,8.33,68
ARE,2017,BLOOD,ACISPP,GEN,Acinetobacter spp.,Gentamicin,75,67,39,1,27,8,58.21,1.49,40.3,10.67
ARE,2017,BLOOD,ACISPP,IPM,Acinetobacter spp.,Imipenem,75,65,35,1,29,10,53.85,1.54,44.62,13.33
